,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
36,9796215,804,UKR88459,88459,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Havrylivka,47.2261,33.8802,1,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces shelled Havrylivka, Kherson. Casualties unknown.",0,1674572556,UKR
40,9796219,804,UKR88463,88463,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Bohodukhivskyi,Zolochivska,Huriiv Kozachok,50.4198,35.9662,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Huriiv Kozachok, Kharkiv. Casualties unknown.",0,1674572556,UKR
44,9796223,804,UKR88467,88467,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Sumskyi,Khotinska,Kindrativka,51.1409,34.7551,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Kindrativka, Sumy. Casualties unknown.",0,1674572556,UKR
46,9796225,804,UKR88469,88469,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Derhachivska,Kozacha Lopan,50.3319,36.1936,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Kozacha Lopan, Kharkiv. Casualties unknown.",0,1674572556,UKR
67,9796246,804,UKR88490,88490,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Sumskyi,Bilopilska,Pavlivka,51.2231,34.5161,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Pavlivka, Sumy. Casualties unknown.",0,1674572556,UKR
73,9796252,804,UKR88496,88496,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Okhtyrskyi,Velykopysarivska,Popivka,50.4966,35.4525,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Popivka, Sumy. Casualties unknown.",0,1674572556,UKR
82,9796262,804,UKR88506,88506,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Lypetska,Strilecha,50.3014,36.3994,2,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces fired mortars and artillery near Strilecha, Kharkiv. Casualties unknown.",0,1674572556,UKR
92,9796272,804,UKR88516,88516,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Zolota Balka,47.3784,33.9647,1,Ministry of Defence of Ukraine,Other,"On 15 January 2023, Russian forces shelled Zolota Balka, Kherson. Casualties unknown.",0,1674572557,UKR
108,9814937,804,UKR89240,89240,2023-01-15,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,1,,,0,10,Europe,Ukraine,Zaporizhia,Berdianskyi,Berdianska,Berdiansk,46.7586,36.7845,1,Institute for the Study of War,Other,"On 15 January 2023, Ukrainian forces shelled Berdiansk, Zaporizhia region. Casualties unknown.",0,1675191966,UKR
110,9795811,804,UKR88055,88055,2023-01-14,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,8,Civilians (Ukraine),,7,78,Europe,Ukraine,Dnipropetrovsk,Dniprovskyi,Dniprovska,Dnipro,48.4593,35.0386,1,Ministry of Defence of Ukraine,Other,"On 14 January 2023, Russian air forces launched an airborne X-22 missile at Dnipro, Dnipropetrovsk. A civilian appartment building was hit. 46 civilians including children were killed and 80 civilians were injured.",46,1674572555,UKR
116,9795818,804,UKR88062,88062,2023-01-14,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-) Navy,8,,,0,80,Europe,Ukraine,Vinnytsia,Vinnytskyi,Vinnytska,Vinnytsia,49.2296,28.4659,3,Suspilne Media,National,"On 14 January 2023, Russian air forces launched 4 airborne X-101 missiles and ship-launched Kalibr missiles at Vinnytsia region (coded to Vinnytsia). 3 out of 4 Russian missiles were shot down by Ukrainian forces. No casualties.",0,1674572555,UKR
135,9796019,804,UKR88263,88263,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Europe,Ukraine,Sumy,Sumskyi,Khotinska,Kindrativka,51.1409,34.7551,2,Ministry of Defence of Ukraine; Suspilne Media,Other-National,"On 14 January 2023, Russian forces fired mortars and artillery near Kindrativka, Sumy. Civilian infrastructure was damaged. 1 civilian was injured.",0,1674572556,UKR
136,9796020,804,UKR88264,88264,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Europe,Ukraine,Dnipropetrovsk,Kryvorizkyi,Kryvorizka,Kryvyi Rih,47.9093,33.3933,1,Suspilne Media,National,"On 14 January 2023, Russian forces launched 5 missiles at Kryvyi Rih, Dnipropetrovsk. 4 of 5 Russian missiles were shot down by Ukrainian forces. Civilian infrastructure was damaged. 1 civilian was killed and 1 civilian was injured.",1,1674572556,UKR
151,9796137,804,UKR88381,88381,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Sumskyi,Bilopilska,Bilopillia,51.1483,34.3008,2,Suspilne Media,National,"On 14 January 2023, Russian forces shelled near Bilopillia, Sumy. Casualties unknown.",0,1674572556,UKR
161,9796147,804,UKR88391,88391,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Ivano-Frankivsk,Ivano-Frankivskyi,Ivano-Frankivsk,Ivano-Frankivsk,48.9215,24.7097,3,Novoye Vremya Ukraine,National,"On 14 January 2023, Russian forces launched missiles at Ivano-Frankivsk region (coded to Ivano-Frankivsk). Ukrainian forces shot down 2 Russian missiles. Civilian infrastructure was damaged. Casualties unknown.",0,1674572556,UKR
163,9796149,804,UKR88393,88393,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,Novoye Vremya Ukraine,National,"On 14 January 2023, Russian forces launched missiles at Kharkiv. Civilian infrastructure was damaged. Casualties unknown.",0,1674572556,UKR
165,9796151,804,UKR88395,88395,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kyiv,Buchanskyi,Makarivska,Kopyliv,50.4085,29.8947,1,Novoye Vremya Ukraine,National,"On 14 January 2023, Russian forces shelled Kopyliv, Kyiv. Civilian infrastructure was damaged. No casualties.",0,1674572556,UKR
171,9796158,804,UKR88402,88402,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kyiv City,Kyiv,,Kyiv,50.4496,30.5224,1,Ministry of Defence of Ukraine,Other,"On 14 January 2023, Russian forces launched C-400 missiles at Kyiv. Casualties unknown.",0,1674572556,UKR
172,9796159,804,UKR88403,88403,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Lviv,Lvivskyi,Lvivska,Lviv,49.8407,24.0305,3,Suspilne Media,National,"On 14 January 2023, Russian forces launched rockets at Lviv region (coded to Lviv). 1 Russian missile was shot down by Ukrainian forces. Civilian infrastructure was damaged. No casualties.",0,1674572556,UKR
179,9796166,804,UKR88410,88410,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Novooleksandrivka,47.2655,33.8769,2,Suspilne Media,National,"On 14 January 2023, Russian forces shelled near Novooleksandrivka, Kherson. Casualties unknown.",0,1674572556,UKR
183,9796170,804,UKR88414,88414,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.4639,30.7386,3,Suspilne Media,National,"On 14 January 2023, Russian forces launched 5 missiles at Odesa region (coded to Odesa). 4 of 5 Russian missiles were shot down by Ukrainian forces. No casualties.",0,1674572556,UKR
198,9796185,804,UKR88429,88429,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Chernihiv,Koriukivskyi,Snovska,Snovsk,51.8186,31.945,2,Suspilne Media,National,"On 14 January 2023, Russian forces fired mortars near Snovsk, Chernihiv. Casualties unknown.",0,1674572556,UKR
201,9796188,804,UKR88432,88432,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Lypetska,Strilecha,50.3014,36.3994,2,Ministry of Defence of Ukraine,Other,"On 14 January 2023, Russian forces fired mortars and artillery near Strilecha, Kharkiv. Casualties unknown.",0,1674572556,UKR
208,9796195,804,UKR88439,88439,2023-01-14,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Derhachivska,Veterynarne,50.3907,36.1953,2,Ministry of Defence of Ukraine,Other,"On 14 January 2023, Russian forces fired mortars and artillery near Veterynarne, Kharkiv. Casualties unknown.",0,1674572556,UKR
249,9778680,804,UKR87444,87444,2023-01-13,2023,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Ukraine),,3,Civilians (Ukraine),Russian Occupation Government (Ukraine),7,37,Europe,Ukraine,Zaporizhia,Berdianskyi,Berdianska,Berdiansk,46.7586,36.7845,2,Unian,National,"On 13 January 2023, an unidentified armed group detonated an explosive in the vehicle of a member of the Russian Occupation Government in Berdiansk, Zaporizhia. The target survived.",0,1673986322,UKR
259,9779145,804,UKR87909,87909,2023-01-13,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Havrylivka,47.2261,33.8802,2,Ministry of Defence of Ukraine,Other,"On 13 January 2023, Russian forces shelled near Havrylivka, Kherson. Casualties unknown.",0,1673986324,UKR
274,9779161,804,UKR87925,87925,2023-01-13,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Derhachivska,Mali Prokhody,50.2305,36.3402,2,Ministry of Defence of Ukraine,Other,"On 13 January 2023, Russian forces shelled near Mali Prokhody, Kharkiv. Casualties unknown.",0,1673986324,UKR
277,9779164,804,UKR87928,87928,2023-01-13,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Mykhailove,52.2647,32.542,2,Ministry of Defence of Ukraine,Other,"On 13 January 2023, Russian forces shelled near Mykhailove, Chernihiv. Casualties unknown.",0,1673986324,UKR
284,9779171,804,UKR87935,87935,2023-01-13,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Sumskyi,Bilopilska,Pavlivka,51.2231,34.5161,2,Ministry of Defence of Ukraine,Other,"On 13 January 2023, Russian forces shelled near Pavlivka, Sumy. Casualties unknown.",0,1673986324,UKR
286,9779173,804,UKR87937,87937,2023-01-13,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Krasnohradskyi,Natalynska,Popivka,49.3658,35.5373,2,Ministry of Defence of Ukraine,Other,"On 13 January 2023, Russian forces shelled near Popivka, Kharkiv. Casualties unknown.",0,1673986324,UKR
290,9779178,804,UKR87942,87942,2023-01-13,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kharkiv,Kharkivskyi,Lypetska,Strilecha,50.3014,36.3994,2,Ministry of Defence of Ukraine,Other,"On 13 January 2023, Russian forces shelled near Strilecha, Kharkiv. Casualties unknown.",0,1673986324,UKR
299,9779187,804,UKR87951,87951,2023-01-13,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Yanzhulivka,52.2935,32.56,2,Ministry of Defence of Ukraine,Other,"On 13 January 2023, Russian forces shelled near Yanzhulivka, Chernihiv. Casualties unknown.",0,1673986324,UKR
300,9779188,804,UKR87952,87952,2023-01-13,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Sumy,Sumskyi,Mykolaivska,Yastrubyne,51.143,34.6287,2,Ministry of Defence of Ukraine,Other,"On 13 January 2023, Russian forces shelled near Yastrubyne, Sumy. Casualties unknown.",0,1673986324,UKR
304,9779192,804,UKR87956,87956,2023-01-13,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Zolota Balka,47.3784,33.9647,2,Ministry of Defence of Ukraine,Other,"On 13 January 2023, Russian forces shelled near Zolota Balka, Kherson. Casualties unknown.",0,1673986324,UKR
377,9779074,804,UKR87838,87838,2023-01-12,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Mylivska,Dudchany,47.1879,33.7807,1,Ukrinform,National,"On 12 January 2023, Russian military forces shelled Dudchany, Kherson. There were no casualties.",0,1673986323,UKR
379,9779076,804,UKR87840,87840,2023-01-12,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Havrylivka,47.2261,33.8802,1,Ukrinform,National,"On 12 January 2023, Russian military forces shelled Havrylivka, Kherson. There were no casualties.",0,1673986323,UKR
385,9779082,804,UKR87846,87846,2023-01-12,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Karpovychi,52.2177,32.3804,2,Ministry of Defence of Ukraine; Suspilne Media,Other-National,"On 12 January 2023, Russian military forces shelled in the area of Karpovychi, Chernihiv. There were no casualties.",0,1673986323,UKR
417,9779115,804,UKR87879,87879,2023-01-12,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2,Ministry of Defence of Ukraine,Other,"On 12 January 2023, Russian military forces shelled in the area of Senkivka, Chernihiv. Casualties unknown.",0,1673986324,UKR
438,9779136,804,UKR87900,87900,2023-01-12,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Zolota Balka,47.3784,33.9647,1,Ukrinform,National,"On 12 January 2023, Russian military forces shelled Zolota Balka, Kherson. There were no casualties.",0,1673986324,UKR
458,9814931,804,UKR89234,89234,2023-01-12,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,1,Military Forces of Russia (2000-),,8,18,Europe,Ukraine,Kherson,Henicheskyi,Ivanivska,Ahaimany,46.6784,34.2616,1,Institute for the Study of War,Other,"On 12 January 2023, Ukrainian forces shelled Russian force concentration in Ahaimany, Kherson region. Casualties unknown.",0,1675191966,UKR
475,9778701,804,UKR87465,87465,2023-01-11,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Europe,Ukraine,Kherson,Beryslavskyi,Mylivska,Dudchany,47.1879,33.7807,1,Ministry of Defence of Ukraine; Suspilne Media,Other-National,"On 11 January 2023, Russian forces shelled Dudchany, Kherson region. 1 civilian was injured.",0,1673986322,UKR
522,9779029,804,UKR87793,87793,2023-01-11,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Novooleksandrivka,47.2655,33.8769,2,Suspilne Media,National,"On 11 January 2023, Russian forces shelled Novooleksandrivka community (coded to Novooleksandrivka, Kherson region). Casualties unknown.",0,1673986323,UKR
604,9778940,804,UKR87704,87704,2023-01-10,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Mylivska,Dudchany,47.1879,33.7807,2,Ministry of Defence of Ukraine,Other,"On 10 January 2023, Russian forces shelled near Dudchany, Kherson, damaging civilian infrastructure. Casualties unknown.",0,1673986323,UKR
630,9778966,804,UKR87730,87730,2023-01-10,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Chernihiv,Chernihivskyi,Horodnianska,Senkivka,52.089,31.7781,2,Ministry of Defence of Ukraine; Suspilne Media,Other-National,"On 10 January 2023, Russian forces shelled near Senkivka, Chernihiv, with mortars and artillery. There were no casualties.",0,1673986323,UKR
648,9778984,804,UKR87748,87748,2023-01-10,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Zolota Balka,47.3784,33.9647,2,Ministry of Defence of Ukraine,Other,"On 10 January 2023, Russian forces shelled near Zolota Balka, Kherson, damaging civilian infrastructure. Casualties unknown.",0,1673986323,UKR
755,9778933,804,UKR87697,87697,2023-01-09,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Zolota Balka,47.3784,33.9647,2,Ministry of Defence of Ukraine,Other,"On 9 January 2023, Russian forces shelled near Zolota Balka, Kherson, damaging civilian infrastructure. Casualties unknown.",0,1673986323,UKR
809,9778828,804,UKR87592,87592,2023-01-08,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Mylivska,Dudchany,47.1879,33.7807,1,Suspilne Media,National,"On 8 January 2023, Russian forces shelled Dudchany, Kherson. Casualties unknown.",0,1673986323,UKR
812,9778831,804,UKR87595,87595,2023-01-08,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Havrylivka,47.2261,33.8802,1,Suspilne Media,National,"On 8 January 2023, Russian forces shelled Havrylivka, Kherson. Casualties unknown.",0,1673986323,UKR
855,9778876,804,UKR87640,87640,2023-01-08,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Zolota Balka,47.3784,33.9647,1,Suspilne Media,National,"On 8 January 2023, Russian forces shelled Zolota Balka, Kherson. Casualties unknown.",0,1673986323,UKR
917,9778766,804,UKR87530,87530,2023-01-07,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Vysokopilska,Ivanivka,47.4681,33.3823,2,Ministry of Defence of Ukraine,Other,"On 7 January 2023, Russian forces shelled near Ivanivka, Kherson. Casualties unknown.",0,1673986323,UKR
1035,9770188,804,UKR87177,87177,2023-01-06,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Zolota Balka,47.3784,33.9647,2,Ministry of Defence of Ukraine,Other,"On 6 January 2023, Russian forces shelled near Zolota Balka, Kherson. Casualties unknown.",0,1673376411,UKR
1085,9769650,804,UKR86639,86639,2023-01-05,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.5712,34.3964,1,Suspilne Media,National,"On 5 January 2023, Russian military forces shelled civilian infrastructure and residential buildings in Nikopol, Dnipropetrovsk. There were no casualties.",0,1673376409,UKR
1097,9770073,804,UKR87062,87062,2023-01-05,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Havrylivka,47.2261,33.8802,1,Suspilne Media,National,"On 5 January 2023, Russian military forces shelled Havrylivka, Kherson. Casualties unknown.",0,1673376410,UKR
1155,9770138,804,UKR87127,87127,2023-01-05,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Zolota Balka,47.3784,33.9647,1,Suspilne Media,National,"On 5 January 2023, Russian military forces shelled Zolota Balka, Kherson. Casualties unknown.",0,1673376411,UKR
1194,9769565,804,UKR86554,86554,2023-01-04,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,Civilians (Ukraine),,7,78,Europe,Ukraine,Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.5712,34.3964,1,Ministry of Defence of Ukraine; Novoye Vremya Ukraine; Suspilne Media,Other-National,"On 4 January 2023, Russian forces shelled Nikopol, Dnipropetrovsk region, multiple times during the day, having damaged about 20 residential houses and causing a fire. 1 civilian was killed.",1,1673376409,UKR
1225,9769998,804,UKR86987,86987,2023-01-04,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Mylivska,Dudchany,47.1879,33.7807,2,Ministry of Defence of Ukraine,Other,"On 4 January 2023, Russian forces shelled near Dudchany, Kherson region. Casualties unknown.",0,1673376410,UKR
1231,9770004,804,UKR86993,86993,2023-01-04,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Kherson,Beryslavskyi,Novooleksandpivska,Havrylivka,47.2261,33.8802,2,Ministry of Defence of Ukraine,Other,"On 4 January 2023, Russian forces shelled near Havrylivka, Kherson region. Casualties unknown.",0,1673376410,UKR
1238,9770011,804,UKR87000,87000,2023-01-04,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Karpovychi,52.2177,32.3804,2,Ministry of Defence of Ukraine,Other,"On 4 January 2023, Russian forces shelled with tanks, mortars and artillery near Karpovychi, Chernihiv region. Casualties unknown.",0,1673376410,UKR
1250,9770023,804,UKR87012,87012,2023-01-04,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Dnipropetrovsk,Nikopolskyi,Marhanetska,Marhanets,47.6354,34.6277,1,Ukrinform,National,"On 4 January 2023, Russian forces shelled Marhanets, Dnipropetrovsk region, with cannon artillery. Casualties unknown.",0,1673376410,UKR
1289,9770090,804,UKR87079,87079,2023-01-04,2023,1,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,,1,Military Forces of Russia (2000-),,8,18,Europe,Ukraine,Crimea,Sevastopol,,Sevastopol,44.6121,33.5244,2,Novoye Vremya Ukraine; Stop Corruption,National,"On 4 January 2023, several explosions occurred in Sevastopol (coded to Sevastopol, Crimea) and a fire started at a military base in Fiolent district, presumably as a result of a Ukrainian drone strike. Later the occupation government claimed that 2 Ukrainian drones were shot down over the sea in the vicinity of Belbek airfield. Casualties unknown.",0,1673376410,UKR
1327,9769638,804,UKR86627,86627,2023-01-03,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.5712,34.3964,2,Novoye Vremya Ukraine,National,"On 3 January 2023, at night, Russian forces fired Uragan missiles and heavy artillery at Nikopol territorial community, Dnipropetrovsk. There were no casualties.",0,1673376409,UKR
1343,9769936,804,UKR86925,86925,2023-01-03,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Karpovychi,52.2177,32.3804,2,Ministry of Defence of Ukraine,Other,"On 3 January 2023, Russian forces shelled near Karpovychi, Chernihiv. Casualties unknown.",0,1673376410,UKR
1388,9770293,804,UKR87282,87282,2023-01-03,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,1,,,0,10,Europe,Ukraine,Crimea,Dzhankoiskyi,Dzhankoiska,Dzhankoy,45.7095,34.3891,1,24 Channel,National,"On 3 January 2023, explosions (presumably due a Ukrainian missile strike) were heard in Dzhankoy, Crimea. Casualties unknown.",0,1673376411,UKR
1410,9769632,804,UKR86621,86621,2023-01-02,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Chernihiv,Koriukivskyi,Snovska,Lypivka,52.1077,31.8556,2,Ministry of Defence of Ukraine; Suspilne Media,Other-National,"On 2 January 2023, Russian forces shelled near Lypivka, Chernihiv, with mortars and artillery. There were no casualties.",0,1673376409,UKR
1411,9769633,804,UKR86622,86622,2023-01-02,2023,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,8,,,0,80,Europe,Ukraine,Dnipropetrovsk,Nikopolskyi,Marhanetska,Marhanets,47.6354,34.6277,2,Novoye Vremya Ukraine,National,"On 2 January 2023, Russian forces shelled heavy artillery at Marhanets district, Dnipropetrovsk. There were no casualties.",0,1673376409,UKR
